IN,India,Asia,,,,,Southern Asia,Developing_Nations,,,20.0,77.0,b,1991,m,,,,,,,Student,IN,gmail.com,,,,,,,,,,,,,,,,,,1
GB,United Kingdom,Europe,London,ENG,England,,Northern Europe,Developed regions,,,51.5142,-0.0931,,,,,,,,,,Student,,hotmail.com,,,,,,,,,,,,,,,,,,1
US,United States,North America,,,,,Northern America,Developed regions,,,38.0,-97.0,,,,,,,,,,Student,,gmail.com,English,United States,,,en,US,,,en,1,,,,,,,,1
IN,India,Asia,Chennai,TN,Tamil Nadu,,Southern Asia,Developing_Nations,,,13.0833,80.2833,,,,,,,,,,Student,,gmail.com,,,,,,,,,,,,,,,,,,1
IN,India,Asia,Bangalore,KA,Karnataka,,Southern Asia,Developing_Nations,,,12.9833,77.5833,m,1981,m,,,,,,,Student,,gmail.com,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,Student,,gmail.com,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,Student,,gmail.com,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,b,1990,m,,,,,,,Student,,gmail.com,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,m,1984,f,,,,,,,Student,,gmail.com,,,,,,,,,,,,,,,,,,1
IN,India,Asia,Bangalore,KA,Karnataka,,Southern Asia,Developing_Nations,,,12.9833,77.5833,,,,,,,,,,Student,,gmail.com,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,m,1975,m,,,,,,,Student,,gmail.com,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,hs,1996,m,,,,,,,Student,,gmail.com,,,,,,,,,,,,,,,,,,1
IN,India,Asia,,,,,Southern Asia,Developing_Nations,,,20.0,77.0,b,1992,m,,,,,,,Student,,gmail.com,,,,,,,,,,,,,,,,,,1
UA,Ukraine,Europe,Kiev,30,Kyiv City,,Eastern Europe,Developed regions,,,50.4333,30.5167,,,,,,,,,,Student,UA,gmail.com,,,,,,,,,,,,,,,,,,1
